Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,115.75,-80.5,-90,top
C2,10u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,115.75,-75.25,90,top
C3,0.1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,88.9375,-106.92875,180,top
C4,10u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,88.955,-104.67875,180,top
C5,0.1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,76.25,-107,180,top
C6,10u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,76.125,-104.75,180,top
C7,0.1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,63.9375,-107,180,top
C8,0.1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,82.8125,-85,0,top
C9,10u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,63.8125,-104.75,180,top
C10,0.1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,88.0625,-84.25,0,top
D1,D_Small,D_SMA_Handsoldering,120.75,-95.5,0,top
J1,Antenna_Hole,PinHeader_1x01_P1.27mm_Vertical,116.25,-87,0,top
J2,GroundHole(dipole),PinHeader_1x01_P1.27mm_Vertical,116.25,-84.5,0,top
J3,GenStart,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",121.205,-126.805,0,top
J4,VBus/GND,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",136.705,-126.805,0,top
J5,MAIN,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",89,-126.75,0,top
J6,PV,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",76.205,-126.805,0,top
J7,DC_LOADS,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",63.455,-126.555,0,top
J8,ExtGenRelay,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",105.705,-126.805,0,top
J9,5V Buck,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",137.5,-90.25,90,top
J10,U_FL-R-SMT_10_,Coax_Conn_U.FL,120.25,-87,-90,top
K1,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,120.5,-99,-90,top
Q1,AO3400A,SOT-23,83.8125,-94,0,top
Q2,AO3401A,SOT-23,88.0625,-94,180,top
R1,4k7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,75.5625,-83.75,-90,top
R2,4k7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,73.0625,-83.8,-90,top
R3,4k7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,70.5625,-83.8,-90,top
R4,4k7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,80.5625,-76.8,90,top
R5,4k7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,78.0625,-76.8,90,top
R6,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,78.0625,-92.25,-90,top
R7,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,84.3125,-90.865,0,top
R8,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,88.1125,-81.75,180,top
R9,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,88.0625,-79.25,0,top
R10,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,80.5625,-92.25,-90,top
U1,RFM95W-915S2,HOPERF_RFM9XW_SMD,105.25,-79.5,0,top
U2,TinyPico,TinyPico,78.0625,-80.365,90,top
U3,INA226,VSSOP-10_3x3mm_P0.5mm,93.3125,-105,-90,top
U4,INA226,VSSOP-10_3x3mm_P0.5mm,80.5625,-105,-90,top
U5,INA226,VSSOP-10_3x3mm_P0.5mm,68.25,-105,-90,top
U6,74LVC1G14,SOT-23-5_HandSoldering,83.0625,-81.75,180,top
